@RELATION GenderFaceDetection
@ATTRIBUTE "Ratio Frontal Bossing" NUMERIC
@ATTRIBUTE "Eyebrows Curvature" NUMERIC
@ATTRIBUTE "Eyebrows Width" NUMERIC
@ATTRIBUTE "Eyes Narrowness" NUMERIC
@ATTRIBUTE "Eyelid Length" NUMERIC
@ATTRIBUTE "Nose Length cm" NUMERIC
@ATTRIBUTE "Nose Protruding Length cm" NUMERIC
@ATTRIBUTE "Width of Upper Lip by Lower Lip" NUMERIC
@ATTRIBUTE "Chin Angle" NUMERIC
@ATTRIBUTE "Ratio of Neck Length and Width" NUMERIC
@ATTRIBUTE "Gender" {Male,Female}
@DATA
0.87,2,5.1,1.23,6.79,5.8,2.8,0.79,137,0.95,Male
0.9,2.5,2.1,1.2,8.67,5,2.4,0.89,155,1.23,Female
0.78,2.1,4.3,1.25,7.2,5.9,2.5,0.57,140,1.21,Male
0.75,2.4,2.3,1.27,7.1,5.5,2.67,0.78,142,1.15,Female
0.76,1.97,4.45,1.63,6.34,5.44,2.7,0.64,142,1.05,Male
0.65,2.3,4.78,1.57,7.45,5.5,2.91,0.72,141,1.12,Male
0.68,2.2,2.23,1.32,7.35,5.7,2.21,0.71,145,1.11,Female
0.73,2.56,2.42,1.24,8.8,5.24,2.78,0.79,139,1.19,Female
0.68,1.98,3.2,1.65,6.9,5.76,2.77,0.56,139,1.08,Male
0.62,2.25,2.98,1.45,6.1,5.94,2.83,0.51,134,0.95,Male
0.89,2.20,2.27,1.25,8.45,5.24,2.37,0.75,162,1.2,Female
0.92,2.68,2.34,1.34,8.54,5.13,2.21,0.72,150,1.17,Female
0.71,2.05,2.28,1.56,6.66,5.82,2.97,0.53,132,1.21,Male
0.82,2.65,2.03,1.25,7.9,4.96,2.12,0.79,160,1.18,Female
0.69,2.4,4.13,1.43,6.31,5.99,2.57,0.61,133,0.92,Male
0.85,2.32,2.14,1.28,8.12,5.21,2.04,0.81,159,1.19,Female
0.84,2.33,2.25,1.31,8.32,4.89,2,0.83,154,1.26,Female
0.79,2.31,2.17,1.37,8.24,4.92,2.12,0.89,151,1.17,Female
0.66,2.13,2.34,1.41,6.58,5.78,2.56,0.59,125,1.06,Male
0.7,2.12,3.95,1.44,6.24,5.69,2.89,0.57,136,0.91,Male
